feature,importance
numeric__total_spent,0.18305143780875488
numeric__satisfaction_score,0.16444337212316532
numeric__support_tickets,0.06508587017380123
numeric__marketing_spend_per_user,0.03801803314239608
numeric__avg_session_time,0.037239094934457685
numeric__lifetime_value,0.03668222534936974
numeric__pages_per_session,0.036450884260304434
numeric__days_since_last_purchase,0.03632270761667353
numeric__avg_order_value,0.03520852817224491
numeric__customer_tenure_days,0.034177933104972746
numeric__email_open_rate,0.03321636885193802
numeric__email_click_rate,0.030948016530224515
numeric__age,0.029231571039154164
numeric__total_visits,0.02474378486597476
numeric__last_3_month_purchase_freq,0.024223237610204538
numeric__nps_score,0.02157464644591689
numeric__delivery_delay_days,0.018841242754793507
numeric__has_coupon_code,0.005557535878202443
categorical__device_type_Mobile,0.005393338280158789
numeric__discount_used,0.005234889390432225
numeric__is_premium_user,0.005218052714024682
categorical__device_type_Desktop,0.004990024369766444
categorical__gender_Male,0.004863749323399323
categorical__country_India,0.0048138451808883405
categorical__subscription_type_Annual,0.004785739532661054
categorical__payment_method_UPI,0.0047659908769702814
categorical__device_type_Tablet,0.004700659779496374
categorical__subscription_type_Monthly,0.004676890844719739
categorical__gender_Female,0.004613845410122384
categorical__payment_method_Card,0.004547855176173791
categorical__payment_method_SEPA,0.004505929439597042
categorical__payment_method_BKash,0.004494220579532295
categorical__acquisition_channel_Email,0.004492960426231378
categorical__country_Germany,0.004385585305871121
categorical__acquisition_channel_Google Ads,0.004375622117903981
categorical__country_Bangladesh,0.004360714473956782
categorical__acquisition_channel_Organic,0.004355371732936567
categorical__acquisition_channel_Facebook Ads,0.004283892633633319
categorical__acquisition_channel_Referral,0.004277969793952887
categorical__payment_method_PayPal,0.004246831836808546
categorical__city_Mumbai,0.004242622531042138
categorical__city_Berlin,0.004190529163103047
categorical__city_Dhaka,0.004130781067949627
categorical__country_USA,0.004109658044649601
categorical__country_UK,0.004044798423348202
numeric__refund_requested,0.004030403339456516
categorical__city_New York,0.0040150990895076915
categorical__city_Delhi,0.003832562726364805
categorical__city_Hamburg,0.003807786905044802
categorical__city_London,0.0037441920667133552
categorical__gender_Other,0.002451096761033575
