feature,outlier_count,outlier_percentage,lower_bound,upper_bound
delivery_delay_days,148,1.2333333333333334,-1.0,7.0
age,69,0.575,7.0,63.0
support_tickets,68,0.5666666666666667,-2.0,6.0
total_spent,61,0.5083333333333333,-304.36578394638536,1308.4743766257225
avg_order_value,50,0.4166666666666667,-7.582443297185613,127.064478289106
lifetime_value,43,0.35833333333333334,-682.2877074201758,3097.1500029800573
avg_session_time,37,0.30833333333333335,-0.12884771815843177,16.176699607250498
total_visits,31,0.2583333333333333,3.0,27.0
pages_per_session,30,0.25,-0.03434787562174746,8.058550120346052
email_click_rate,0,0.0,-0.245,0.755
email_open_rate,0,0.0,-0.525,1.5150000000000001
marketing_spend_per_user,0,0.0,-7.340000000000003,42.42
last_3_month_purchase_freq,0,0.0,-9.0,23.0
customer_tenure_days,0,0.0,-796.5,1319.5
days_since_last_purchase,0,0.0,-413.5,1214.5
